INFO:models:Deleted 9 existing screening types and all associated screenings for complete replacement
INFO:models:Committed deletion of existing screening types
INFO:models:Processing screening type: 'Lipid Panel' for org 1
INFO:models:Creating new screening type: 'Lipid Panel' for org 1
INFO:models:Processing screening type: 'A1C Test' for org 1
INFO:models:Creating new screening type: 'A1C Test' for org 1
INFO:models:Processing screening type: 'Electrocardiogram (ECG)' for org 1
INFO:models:Creating new screening type: 'Electrocardiogram (ECG)' for org 1
INFO:models:Processing screening type: 'Mammogram' for org 1
INFO:models:Creating new screening type: 'Mammogram' for org 1
INFO:models:Processing screening type: 'A1C Test' for org 1
INFO:models:Creating VARIANT of 'A1C Test' for org 1 (different criteria)
INFO:models:Processing screening type: 'Diabetic Eye Exam' for org 1
INFO:models:Creating new screening type: 'Diabetic Eye Exam' for org 1
INFO:models:Processing screening type: 'Cervical Cancer Screening' for org 1
INFO:models:Creating new screening type: 'Cervical Cancer Screening' for org 1
INFO:models:Processing screening type: 'Colorectal Cancer Screening' for org 1
INFO:models:Creating new screening type: 'Colorectal Cancer Screening' for org 1
INFO:models:Processing screening type: 'Immunization Review' for org 1
INFO:models:Creating new screening type: 'Immunization Review' for org 1
INFO:models:Successfully imported 9 and updated 0 screening types
INFO:routes.admin_routes:Preset 36 North Union applied - triggering screening refresh to create screening items
INFO:services.screening_refresh_service:ScreeningRefreshService initialized for organization 1 - LOCAL PROCESSING ONLY
INFO:services.screening_refresh_service:Starting screening refresh for EXISTING data only - NO Epic calls
INFO:services.screening_refresh_service:Found 9 modified screening types (active: 9, inactive: 0)
INFO:services.screening_refresh_service:Force refresh requested
INFO:services.screening_refresh_service:Screening type criteria changed - checking ALL 7 patients for eligibility
INFO:services.screening_refresh_service:Created NEW screening 147 for patient 10, type Mammogram
INFO:services.screening_refresh_service:Created NEW screening 148 for patient 10, type Cervical Cancer Screening
INFO:services.screening_refresh_service:Created NEW screening 149 for patient 10, type Immunization Review
INFO:services.screening_refresh_service:Created NEW screening 150 for patient 13, type Immunization Review
INFO:services.screening_refresh_service:Created NEW screening 151 for patient 14, type Lipid Panel
INFO:services.screening_refresh_service:Created NEW screening 152 for patient 14, type A1C Test
INFO:services.screening_refresh_service:Created NEW screening 153 for patient 14, type Electrocardiogram (ECG)
INFO:services.screening_refresh_service:Created NEW screening 154 for patient 14, type Mammogram
INFO:services.screening_refresh_service:Created NEW screening 155 for patient 14, type Cervical Cancer Screening
INFO:services.screening_refresh_service:Created NEW screening 156 for patient 14, type Colorectal Cancer Screening
INFO:services.screening_refresh_service:Created NEW screening 157 for patient 14, type Immunization Review
INFO:services.screening_refresh_service:Created NEW screening 158 for patient 15, type Cervical Cancer Screening
INFO:services.screening_refresh_service:Created NEW screening 159 for patient 15, type Immunization Review
INFO:services.screening_refresh_service:Created NEW screening 160 for patient 11, type Lipid Panel
INFO:services.screening_refresh_service:Created NEW screening 161 for patient 11, type A1C Test
INFO:services.screening_refresh_service:Created NEW screening 162 for patient 11, type Electrocardiogram (ECG)
INFO:services.screening_refresh_service:Created NEW screening 163 for patient 11, type Colorectal Cancer Screening
INFO:services.screening_refresh_service:Created NEW screening 164 for patient 11, type Immunization Review
